asof,exp008_selected,exp008_score,best_branch,best_branch_score,candidate_oracle_score,missed_best_stocks,missed_best_stocks_appeared_in_pool,missed_best_stocks_rank,reason
2026-02-13,"600036,600900,601398,601166,601816",-0.0127160624042417,lgb_only_guarded,0.0778096365828026,0.10652920508033895,"002463,300476,002493,600346,002466","002463:True,300476:True,002493:True,600346:True,002466:True","002463:3,300476:2,002493:1,600346:5,002466:4",best_branch_not_chosen_by_exp008_gate
2026-03-16,"600900,601398,600036,601166,601169",-0.0023352813847829,defensive_v2_strict,0.0018180427083169,0.023121580547377764,"300394,300308,601328,300274","300394:True,300308:True,601328:True,300274:True","300394:2,300308:1,601328:5,300274:1",best_branch_not_chosen_by_exp008_gate
2026-03-30,"600900,600036,601166,601398,601328",-0.0057263599164897,conservative_softrisk_v2,0.0255056166916814,0.04247368625072383,"300394,002384,688256,601058,603986","300394:True,002384:True,688256:True,601058:True,603986:True","300394:5,002384:1,688256:4,601058:4,603986:3",best_branch_not_chosen_by_exp008_gate
2026-04-07,"603799,688008,600023,688981,603259",0.0606132422513541,lgb_only_guarded,0.1326640345331636,0.14298959632056082,"002916,688111,002466,300274","002916:True,688111:True,002466:True,300274:True","002916:1,688111:5,002466:3,300274:2",best_branch_not_chosen_by_exp008_gate
2026-04-14,"601111,688256,300476,300274,300760",0.0214004162329492,union_topn_rrf_lcb,0.0297702193566981,0.07022199586690707,"002466,605499,601939","002466:True,605499:True,601939:True","002466:2,605499:3,601939:2",best_branch_not_chosen_by_exp008_gate
2026-04-17,"600893,600150,002384,601077,300274",0.0827105328839978,independent_union_rerank,0.08271053288399784,0.0932309563536466,"603986,601939","603986:True,601939:True","603986:4,601939:1",candidate_pool_oracle_gap_not_represented_by_branch_top5
